timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,phase
,100,6.6286,756.4,3.00e-05,12326,1638400,0.0,0.0,extended_v1
,200,6.5978,733.5,3.00e-05,12631,3276800,0.0,0.1,extended_v1
,300,6.6048,738.6,3.00e-05,12739,4915200,0.0,0.1,extended_v1
,400,6.5955,731.8,3.00e-05,12784,6553600,0.01,0.1,extended_v1
,500,6.5896,727.5,3.00e-05,12811,8192000,0.01,0.2,extended_v1
,600,6.605,738.8,3.00e-05,12311,9830400,0.01,0.2,extended_v1
,700,6.5902,727.9,3.00e-05,12402,11468800,0.01,0.3,extended_v1
,800,6.5952,731.6,3.00e-05,12469,13107200,0.01,0.3,extended_v1
,900,6.5609,706.9,3.00e-05,12523,14745600,0.01,0.3,extended_v1
,1000,6.5613,707.2,3.00e-05,12573,16384000,0.02,0.4,extended_v1
,1100,6.5479,697.8,3.00e-05,12333,18022400,0.02,0.4,extended_v1
,1200,6.5116,672.9,3.00e-05,12394,19660800,0.02,0.4,extended_v1
,1300,6.5373,690.4,3.00e-05,12444,21299200,0.02,0.5,extended_v1
,1400,6.5145,674.9,2.99e-05,12486,22937600,0.02,0.5,extended_v1
,1500,6.4849,655.2,2.99e-05,12525,24576000,0.02,0.5,extended_v1
,1600,6.4972,663.3,2.99e-05,12363,26214400,0.03,0.6,extended_v1
,1700,6.4554,636.1,2.99e-05,12403,27852800,0.03,0.6,extended_v1
,1800,6.4691,644.9,2.99e-05,12440,29491200,0.03,0.7,extended_v1
,1900,6.4575,637.5,2.99e-05,12472,31129600,0.03,0.7,extended_v1
,2000,6.4168,612.0,2.99e-05,12501,32768000,0.03,0.7,extended_v1
,2100,6.4529,634.5,2.99e-05,12379,34406400,0.03,0.8,extended_v1
,2200,6.4031,603.7,2.99e-05,12411,36044800,0.04,0.8,extended_v1
,2300,6.3781,588.8,2.98e-05,12438,37683200,0.04,0.8,extended_v1
,2400,6.3769,588.1,2.98e-05,12465,39321600,0.04,0.9,extended_v1
,2500,6.3702,584.2,2.98e-05,12488,40960000,0.04,0.9,extended_v1
,2600,6.3343,563.6,2.98e-05,12390,42598400,0.04,1.0,extended_v1
,2700,6.2848,536.4,2.98e-05,12416,44236800,0.04,1.0,extended_v1
,2800,6.3402,566.9,2.98e-05,12439,45875200,0.05,1.0,extended_v1
,2900,6.3517,573.5,2.98e-05,12459,47513600,0.05,1.1,extended_v1
,3000,6.3165,553.6,2.97e-05,12479,49152000,0.05,1.1,extended_v1
,3100,6.282,534.9,2.97e-05,12398,50790400,0.05,1.1,extended_v1
,3200,6.2554,520.8,2.97e-05,12420,52428800,0.05,1.2,extended_v1
,3300,6.2608,523.6,2.97e-05,12439,54067200,0.05,1.2,extended_v1
,3400,6.2819,534.8,2.97e-05,12457,55705600,0.06,1.2,extended_v1
,3500,6.2531,519.6,2.96e-05,12474,57344000,0.06,1.3,extended_v1
,3600,6.2664,526.6,2.96e-05,12405,58982400,0.06,1.3,extended_v1
,3700,6.2603,523.4,2.96e-05,12423,60620800,0.06,1.4,extended_v1
,3800,6.2408,513.3,2.96e-05,12439,62259200,0.06,1.4,extended_v1
,3900,6.2695,528.2,2.96e-05,12455,63897600,0.06,1.4,extended_v1
,4000,6.2585,522.4,2.95e-05,12470,65536000,0.07,1.5,extended_v1
,4100,6.2502,518.1,2.95e-05,12408,67174400,0.07,1.5,extended_v1
,4200,6.2943,541.5,2.95e-05,12425,68812800,0.07,1.5,extended_v1
,4300,6.2084,496.9,2.95e-05,12440,70451200,0.07,1.6,extended_v1
,4400,6.258,522.2,2.94e-05,12454,72089600,0.07,1.6,extended_v1
,4500,6.2482,517.1,2.94e-05,12468,73728000,0.07,1.6,extended_v1
,4600,6.2322,508.9,2.94e-05,12413,75366400,0.08,1.7,extended_v1
,4700,6.224,504.7,2.94e-05,12427,77004800,0.08,1.7,extended_v1
,4800,6.219,502.2,2.93e-05,12441,78643200,0.08,1.8,extended_v1
,4900,6.2474,516.7,2.93e-05,12454,80281600,0.08,1.8,extended_v1
,5000,6.1857,485.8,2.93e-05,12466,81920000,0.08,1.8,extended_v1
,5100,6.1885,487.1,2.92e-05,12417,83558400,0.08,1.9,extended_v1
,5200,6.1942,489.9,2.92e-05,12429,85196800,0.09,1.9,extended_v1
,5300,6.1554,471.3,2.92e-05,12441,86835200,0.09,1.9,extended_v1
,5400,6.1031,447.2,2.91e-05,12453,88473600,0.09,2.0,extended_v1
,5500,6.1572,472.1,2.91e-05,12464,90112000,0.09,2.0,extended_v1
,5600,6.1434,465.6,2.91e-05,12419,91750400,0.09,2.1,extended_v1
,5700,6.1458,466.8,2.90e-05,12431,93388800,0.09,2.1,extended_v1
,5800,6.1042,447.7,2.90e-05,12443,95027200,0.1,2.1,extended_v1
,5900,6.1172,453.6,2.90e-05,12453,96665600,0.1,2.2,extended_v1
,6000,6.1047,448.0,2.89e-05,12463,98304000,0.1,2.2,extended_v1
,6100,6.1067,448.9,2.89e-05,12422,99942400,0.1,2.2,extended_v1
,6200,6.0773,435.9,2.89e-05,12433,101580800,0.1,2.3,extended_v1
,6300,6.0827,438.2,2.88e-05,12443,103219200,0.1,2.3,extended_v1
,6400,6.0771,435.8,2.88e-05,12453,104857600,0.1,2.3,extended_v1
,6500,6.0324,416.7,2.88e-05,12463,106496000,0.11,2.4,extended_v1
,6600,6.0655,430.7,2.87e-05,12425,108134400,0.11,2.4,extended_v1
,6700,6.0779,436.1,2.87e-05,12435,109772800,0.11,2.5,extended_v1
,6800,6.0573,427.2,2.87e-05,12445,111411200,0.11,2.5,extended_v1
,6900,6.1058,448.5,2.86e-05,12454,113049600,0.11,2.5,extended_v1
,7000,6.0757,435.2,2.86e-05,12463,114688000,0.11,2.6,extended_v1
,7100,6.059,427.9,2.85e-05,12428,116326400,0.12,2.6,extended_v1
,7200,6.0857,439.5,2.85e-05,12437,117964800,0.12,2.6,extended_v1
,7300,6.0675,431.6,2.85e-05,12446,119603200,0.12,2.7,extended_v1
,7400,6.0917,442.2,2.84e-05,12455,121241600,0.12,2.7,extended_v1
,7500,6.0601,428.4,2.84e-05,12463,122880000,0.12,2.7,extended_v1
,7600,6.0465,422.6,2.83e-05,12430,124518400,0.12,2.8,extended_v1
,7700,6.0423,420.9,2.83e-05,12439,126156800,0.13,2.8,extended_v1
,7800,6.0699,432.6,2.82e-05,12448,127795200,0.13,2.9,extended_v1
,7900,6.0253,413.8,2.82e-05,12456,129433600,0.13,2.9,extended_v1
,8000,6.0216,412.2,2.81e-05,12464,131072000,0.13,2.9,extended_v1
,8100,6.0726,433.8,2.81e-05,12433,132710400,0.13,3.0,extended_v1
,8200,6.0806,437.3,2.81e-05,12441,134348800,0.13,3.0,extended_v1
,8300,6.0265,414.3,2.80e-05,12449,135987200,0.14,3.0,extended_v1
,8400,6.0305,415.9,2.80e-05,12457,137625600,0.14,3.1,extended_v1
,8500,6.0464,422.6,2.79e-05,12465,139264000,0.14,3.1,extended_v1
,8600,6.0297,415.6,2.79e-05,12436,140902400,0.14,3.1,extended_v1
,8700,6.0056,405.7,2.78e-05,12444,142540800,0.14,3.2,extended_v1
,8800,6.004,405.0,2.78e-05,12451,144179200,0.14,3.2,extended_v1
,8900,5.998,402.6,2.77e-05,12459,145817600,0.15,3.3,extended_v1
,9000,5.9831,396.7,2.77e-05,12466,147456000,0.15,3.3,extended_v1
,9100,6.0191,411.2,2.76e-05,12439,149094400,0.15,3.3,extended_v1
,9200,5.9944,401.2,2.76e-05,12446,150732800,0.15,3.4,extended_v1
,9300,5.9603,387.7,2.75e-05,12453,152371200,0.15,3.4,extended_v1
,9400,5.9272,375.1,2.75e-05,12460,154009600,0.15,3.4,extended_v1
,9500,5.923,373.5,2.74e-05,12467,155648000,0.16,3.5,extended_v1
,9600,5.9227,373.4,2.74e-05,12441,157286400,0.16,3.5,extended_v1
,9700,5.9207,372.7,2.73e-05,12448,158924800,0.16,3.5,extended_v1
,9800,5.9638,389.1,2.72e-05,12455,160563200,0.16,3.6,extended_v1
,9900,5.9301,376.2,2.72e-05,12461,162201600,0.16,3.6,extended_v1
,10000,5.9058,367.2,2.71e-05,12468,163840000,0.16,3.7,extended_v1
,10100,5.9045,366.7,2.71e-05,12444,165478400,0.17,3.7,extended_v1
,10200,5.9088,368.3,2.70e-05,12451,167116800,0.17,3.7,extended_v1
,10300,5.9382,379.3,2.70e-05,12458,168755200,0.17,3.8,extended_v1
,10400,5.8959,363.5,2.69e-05,12464,170393600,0.17,3.8,extended_v1
,10500,5.9313,376.6,2.69e-05,12471,172032000,0.17,3.8,extended_v1
,10600,5.9188,372.0,2.68e-05,12448,173670400,0.17,3.9,extended_v1
,10700,5.9489,383.3,2.67e-05,12454,175308800,0.18,3.9,extended_v1
,10800,5.9297,376.0,2.67e-05,12461,176947200,0.18,3.9,extended_v1
,10900,5.9397,379.8,2.66e-05,12467,178585600,0.18,4.0,extended_v1
,11000,5.9018,365.7,2.66e-05,12473,180224000,0.18,4.0,extended_v1
,11100,5.9577,386.7,2.65e-05,12451,181862400,0.18,4.1,extended_v1
,11200,5.9684,390.9,2.64e-05,12458,183500800,0.18,4.1,extended_v1
,11300,5.9218,373.1,2.64e-05,12464,185139200,0.19,4.1,extended_v1
,11400,5.8995,364.9,2.63e-05,12470,186777600,0.19,4.2,extended_v1
,11500,5.8908,361.7,2.63e-05,12476,188416000,0.19,4.2,extended_v1
,11600,5.8947,363.1,2.62e-05,12455,190054400,0.19,4.2,extended_v1
,11700,5.9313,376.6,2.61e-05,12461,191692800,0.19,4.3,extended_v1
,11800,5.9061,367.3,2.61e-05,12467,193331200,0.19,4.3,extended_v1
,11900,5.9447,381.7,2.60e-05,12473,194969600,0.19,4.3,extended_v1
,12000,5.9067,367.5,2.59e-05,12478,196608000,0.2,4.4,extended_v1
,12100,5.8487,346.8,2.59e-05,12458,198246400,0.2,4.4,extended_v1
,12200,5.8907,361.7,2.58e-05,12464,199884800,0.2,4.5,extended_v1
,12300,5.9036,366.4,2.57e-05,12469,201523200,0.2,4.5,extended_v1
,12400,5.8974,364.1,2.57e-05,12475,203161600,0.2,4.5,extended_v1
,12500,5.875,356.0,2.56e-05,12480,204800000,0.2,4.6,extended_v1
,12600,5.8617,351.3,2.55e-05,12461,206438400,0.21,4.6,extended_v1
,12700,5.8214,337.4,2.55e-05,12466,208076800,0.21,4.6,extended_v1
,12800,5.8421,344.5,2.54e-05,12472,209715200,0.21,4.7,extended_v1
,12900,5.8343,341.8,2.53e-05,12477,211353600,0.21,4.7,extended_v1
,13000,5.8351,342.1,2.53e-05,12482,212992000,0.21,4.7,extended_v1
,13100,5.8603,350.8,2.52e-05,12464,214630400,0.21,4.8,extended_v1
,13200,5.8432,344.9,2.51e-05,12469,216268800,0.22,4.8,extended_v1
,13300,5.8386,343.3,2.51e-05,12474,217907200,0.22,4.9,extended_v1
,13400,5.8083,333.1,2.50e-05,12479,219545600,0.22,4.9,extended_v1
,13500,5.7975,329.5,2.49e-05,12484,221184000,0.22,4.9,extended_v1
,13600,5.8012,330.7,2.48e-05,12466,222822400,0.22,5.0,extended_v1
,13700,5.7892,326.8,2.48e-05,12472,224460800,0.22,5.0,extended_v1
,13800,5.7971,329.3,2.47e-05,12477,226099200,0.23,5.0,extended_v1
,13900,5.789,326.7,2.46e-05,12481,227737600,0.23,5.1,extended_v1
,14000,5.8562,349.4,2.46e-05,12486,229376000,0.23,5.1,extended_v1
,14100,5.8382,343.2,2.45e-05,12469,231014400,0.23,5.1,extended_v1
,14200,5.8235,338.2,2.44e-05,12474,232652800,0.23,5.2,extended_v1
,14300,5.7742,321.9,2.43e-05,12479,234291200,0.23,5.2,extended_v1
,14400,5.8532,348.3,2.43e-05,12484,235929600,0.24,5.2,extended_v1
,14500,5.8218,337.6,2.42e-05,12488,237568000,0.24,5.3,extended_v1
,14600,5.839,343.4,2.41e-05,12471,239206400,0.24,5.3,extended_v1
,14700,5.8241,338.4,2.40e-05,12476,240844800,0.24,5.4,extended_v1
,14800,5.8048,331.9,2.40e-05,12481,242483200,0.24,5.4,extended_v1
,14900,5.8496,347.1,2.39e-05,12486,244121600,0.24,5.4,extended_v1
,15000,5.8382,343.2,2.38e-05,12490,245760000,0.25,5.5,extended_v1
,15100,5.8196,336.8,2.37e-05,12474,247398400,0.25,5.5,extended_v1
,15200,5.8622,351.5,2.37e-05,12479,249036800,0.25,5.5,extended_v1
,15300,5.8523,348.0,2.36e-05,12483,250675200,0.25,5.6,extended_v1
,15400,5.8666,353.0,2.35e-05,12488,252313600,0.25,5.6,extended_v1
,15500,5.8837,359.1,2.34e-05,12492,253952000,0.25,5.6,extended_v1
,15600,5.7859,325.7,2.34e-05,12477,255590400,0.26,5.7,extended_v1
,15700,5.7722,321.2,2.33e-05,12481,257228800,0.26,5.7,extended_v1
,15800,5.766,319.3,2.32e-05,12486,258867200,0.26,5.8,extended_v1
,15900,5.766,319.3,2.31e-05,12490,260505600,0.26,5.8,extended_v1
,16000,5.7781,323.1,2.30e-05,12495,262144000,0.26,5.8,extended_v1
,16100,5.7611,317.7,2.30e-05,12479,263782400,0.26,5.9,extended_v1
,16200,5.8019,330.9,2.29e-05,12484,265420800,0.27,5.9,extended_v1
,16300,5.7835,324.9,2.28e-05,12488,267059200,0.27,5.9,extended_v1
,16400,5.7424,311.8,2.27e-05,12492,268697600,0.27,6.0,extended_v1
,16500,5.7526,315.0,2.26e-05,12497,270336000,0.27,6.0,extended_v1
,16600,5.7865,325.9,2.26e-05,12482,271974400,0.27,6.1,extended_v1
,16700,5.7582,316.8,2.25e-05,12486,273612800,0.27,6.1,extended_v1
,16800,5.7447,312.5,2.24e-05,12490,275251200,0.28,6.1,extended_v1
,16900,5.7519,314.8,2.23e-05,12495,276889600,0.28,6.2,extended_v1
,17000,5.7371,310.2,2.22e-05,12499,278528000,0.28,6.2,extended_v1
,17100,5.7303,308.1,2.21e-05,12484,280166400,0.28,6.2,extended_v1
,17200,5.6926,296.7,2.21e-05,12489,281804800,0.28,6.3,extended_v1
,17300,5.7063,300.8,2.20e-05,12493,283443200,0.28,6.3,extended_v1
